alpha,mean_acc,std_acc
0.99,0.10071954181317289,0.005929645728108513
0.88684,0.10063081066854111,0.00596883056280303
0.9,0.10063081066854111,0.00596883056280303
0.93842,0.10063081066854111,0.00596883056280303
0.78368,0.1001868397370532,0.00548556141362009
0.83526,0.1001868397370532,0.005571011572947702
0.73211,0.10009810859242144,0.0056462614360503535
0.68053,0.10000937744778968,0.005814711538361912
0.01,0.10000921984362514,0.005660764157241757
0.01435,0.10000921984362514,0.005660764157241757
0.00627,0.10000921984362514,0.005660764157241757
0.03283,0.10000921984362514,0.005660764157241757
0.57737,0.09992064630315792,0.0057624905018213496
0.0012,0.09992048869899338,0.005690732405205755
0.00023,0.09992048869899338,0.005690732405205755
0.00052,0.09992048869899338,0.005690732405205755
0.0001,0.09992048869899338,0.005690732405205755
0.00274,0.09992048869899338,0.005690732405205755
0.62895,0.09983191515852616,0.005817704996403152
0.47421,0.0998318363564439,0.005481708119833884
0.06158,0.09983175755436162,0.005649916082260258
0.52579,0.09974318401389438,0.005694058611177034
0.42263,0.09974310521181212,0.00537965153240491
0.39334,0.09974310521181212,0.00537965153240491
0.07513,0.09974302640972985,0.005649364096525539
0.11316,0.09965429526509809,0.005619466396418673
0.37105,0.09965429526509809,0.005302281351296513
0.31947,0.09965429526509809,0.005302281351296513
0.17191,0.09956556412046633,0.005602071791252184
0.16474,0.09956556412046633,0.005602071791252184
0.26789,0.09947683297583455,0.0054836135396543065
0.21632,0.09947683297583455,0.0054836135396543065
