alpha,mean_acc,std_acc
0.93842,0.10160716846781959,0.006949020620345381
0.68053,0.10151843732318784,0.007237186105032682
0.99,0.10151843732318781,0.00697120642540441
0.78368,0.10151843732318781,0.007016236619998844
0.9,0.10142970617855607,0.0068901106777888126
0.88684,0.10142970617855607,0.0068901106777888126
0.83526,0.10142962737647379,0.006877263287970891
0.62895,0.1013409750339243,0.0072980966663266054
0.73211,0.1013409750339243,0.007023219129232396
0.42263,0.10116327633841396,0.007132865979737015
0.39334,0.10116327633841396,0.007132865979737015
0.37105,0.10116327633841396,0.007132865979737015
0.01,0.1010745451937822,0.007093695286116211
0.01435,0.1010745451937822,0.007093695286116211
0.00627,0.1010745451937822,0.007093695286116211
0.03283,0.1010745451937822,0.007093695286116211
0.47421,0.1010745451937822,0.007148974361055838
0.31947,0.1010745451937822,0.006947911675106047
0.07513,0.10098581404915044,0.00713090122996123
0.00274,0.10098581404915044,0.00713090122996123
0.0012,0.10098581404915044,0.00713090122996123
0.06158,0.10098581404915044,0.00713090122996123
0.26789,0.10098581404915044,0.006814745143875238
0.57737,0.10098573524706818,0.00704069575856644
0.0001,0.10089708290451867,0.007089498939609883
0.00052,0.10089708290451867,0.007089498939609883
0.21632,0.10089708290451867,0.006759772919165621
0.11316,0.10089708290451867,0.006988835119656941
0.00023,0.10089708290451867,0.007089498939609883
0.52579,0.1008970041024364,0.007088183138716913
0.16474,0.1008083517598869,0.0069906487569591875
0.17191,0.1008083517598869,0.0069906487569591875
