,precision,recall,f1-score,support
1,0.09296264118158123,0.33647798742138363,0.1456773315180395,318.0
2,0.14754098360655737,0.02313624678663239,0.04,389.0
3,0.2,0.1278772378516624,0.15600624024961,391.0
4,0.1111111111111111,0.00510204081632653,0.00975609756097561,392.0
5,0.08502024291497975,0.2193211488250653,0.12253829321663019,383.0
6,0.12222222222222222,0.08461538461538462,0.1,390.0
7,0.05185185185185185,0.01832460732984293,0.027079303675048357,382.0
8,0.0,0.0,0.0,395.0
9,0.031746031746031744,0.005037783375314861,0.008695652173913044,397.0
10,0.20222634508348794,0.27455919395465994,0.2329059829059829,397.0
11,0.14285714285714285,0.03508771929824561,0.056338028169014086,399.0
12,0.15,0.015189873417721518,0.027586206896551724,395.0
13,0.05693069306930693,0.058524173027989825,0.05771643663739021,393.0
14,0.06686046511627906,0.5267175572519084,0.11865864144453998,393.0
15,0.125,0.015306122448979591,0.02727272727272727,392.0
16,0.22641509433962265,0.03015075376884422,0.05321507760532151,398.0
17,0.0625,0.0027472527472527475,0.005263157894736842,364.0
18,0.2358490566037736,0.06648936170212766,0.1037344398340249,376.0
19,0.1935483870967742,0.03870967741935484,0.06451612903225806,310.0
20,0.12121212121212122,0.04780876494023904,0.06857142857142857,251.0
accuracy,0.0960692871419054,0.0960692871419054,0.0960692871419054,0.0960692871419054
macro avg,0.12129271950064217,0.09655914434994681,0.07127655873290964,7505.0
weighted avg,0.12091960016088556,0.0960692871419054,0.07083187729341762,7505.0
