model,rmse,relative_error
Нейронная сеть (mlp_cfg2),124506.44777632397,28.652206175765222
Нейронная сеть (mlp_cfg1),399859.3137162732,92.01813803636016
Нейронная сеть (mlp_cfg3),467141.09773834754,107.50144498233476
